StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,MTURK_ID,familiar,severity1,severity2,severity3,severity4,severity5,origin1,origin2,origin3,origin4,covidvax1,covidvax2,covidvax3,skep1,skep2,skep3,skep4,vaxeff_1,vaxeff_2,vaxeff_3,vaxeff_4,AC1,xeno1,xeno2,xeno3,xeno4,politics1,politics2,politics3,econ_1,econ_2,econ_3,AC2,Explain,Thoughts,Gender,Age,Ethnicity,Region,State,Rural,newshours,SocialIssues_1,FiscalIssues_1,FINAL_AC,Q81_First Click,Q81_Last Click,Q81_Page Submit,Q81_Click Count
4/17/20 16:43,4/17/20 16:46,0,104.222.27.33,100,167,1,4/17/20 16:46,R_ZlDuw2nJAJG98xr,,,,,33.59030151,-101.9371033,anonymous,EN,1,A2PIFMM4Q2I9ZS,3,2,6,3,2,2,1,4,1,2,1,1,3,4,4,4,4,4,5,4,4,1,4,3,3,2,4,3,3,4,3,4,1,I answered according to my emotions and my gut.,,2,21,1,3,texas,4,1,3,2,1,3.769,3.769,6.452,1
4/17/20 16:44,4/17/20 16:47,0,162.231.57.35,100,173,1,4/17/20 16:47,R_bsCqgx2KKTamyul,,,,,32.74049377,-117.0934982,anonymous,EN,1,A1ZDR2UN7M92LI,5,7,7,4,4,7,7,4,6,7,7,7,6,4,5,4,4,4,6,2,4,1,1,3,1,5,7,7,7,7,7,1,1,I think this was created by the media and the whole thing is overhyped.  There's an ulterior motive behind all of this.,Thanks,1,36,1,1,California,5,1,4,4,1,2.705,2.705,6.009,1
4/17/20 16:43,4/17/20 16:46,0,172.58.229.22,100,219,1,4/17/20 16:47,R_Z4YtDTz0zPBqXQd,,,,,42.91349792,-78.88899994,anonymous,EN,1,A2C4R0TBPZGWTD,4,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,I believe science and do not trust Trump.,No,1,38,1,4,Ny,5,10,2,2,1,2.785,10.003,10.587,3
4/17/20 16:43,4/17/20 16:47,0,47.34.36.106,100,220,1,4/17/20 16:47,R_9yi1b47L1ppwwMx,,,,,43.42190552,-88.18470001,anonymous,EN,1,A1IHK9WV6QSWHC,4,2,3,2,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,1,2,5,5,2,1,2,1,1,1,2,1,Bias towards science and misinformation about COVID-19,Thank you,1,44,1,2,Wisconsin,4,15,2,5,1,1.319,5.129,6.201,3
4/17/20 16:44,4/17/20 16:47,0,71.84.201.36,100,183,1,4/17/20 16:47,R_2pXcVqAMnAyWKfI,,,,,34.13540649,-117.598999,anonymous,EN,1,A20QXCW2IQ1JTI,4,6,3,6,6,3,6,3,6,5,5,6,2,5,6,2,2,3,6,6,2,1,5,6,6,6,6,6,3,5,5,2,1,About covid 19,everything good,2,35,1,1,CA,5,2,5,5,1,17.732,17.732,18.925,1
4/17/20 16:43,4/17/20 16:47,0,35.141.42.212,100,219,1,4/17/20 16:47,R_3kcyRl5m60VaXja,,,,,29.13830566,-80.99559784,anonymous,EN,1,A2HSCKH5NKN5LP,5,1,6,1,1,3,1,4,1,1,1,1,1,4,1,4,1,2,2,1,1,1,1,1,7,7,1,1,1,1,1,3,1,"My answers were chosen because that was what my gut instinct was.

I do have a problem with putting the CDC and the WHO in the same category.  I don't think WHO is acting in the world's best interest anymore, China has influenced them far too much to be taken seriously.  Whereas the CDC hasn't been compromised, so I had a problem with that question.",I added my thoughts in the previous answer.,1,33,1,3,Florida,5,15,3,4,1,2.984,5.94,6.252,2
4/17/20 16:44,4/17/20 16:48,0,47.153.114.127,100,229,1,4/17/20 16:48,R_2YDLHzSE65wbtSU,,,,,34.03930664,-117.1725006,anonymous,EN,1,A15YGNTVVBSSY4,5,5,1,7,6,2,6,1,7,5,6,7,1,7,7,2,3,3,6,7,1,0,7,6,7,6,7,6,1,7,7,2,0,I chose those answers because that's how I feel about the situation,,1,27,2,1,California,4,20,5,6,1,5.715,6.794,7.842,2
4/17/20 16:43,4/17/20 16:48,0,100.16.13.195,100,275,1,4/17/20 16:48,R_1pYU7WREqx66IIC,,,,,39.53720093,-76.36049652,anonymous,EN,1,A2GDXQGEQT8RJJ,5,2,5,1,2,1,1,6,1,3,1,1,1,2,2,2,1,3,2,1,1,1,1,7,7,7,7,6,3,6,3,1,1,I answered honestly...how I truly felt in my heart and mind,,1,47,1,3,MD,4,2,6,6,1,11.35,11.35,12.405,1
4/17/20 16:44,4/17/20 16:48,0,73.95.14.98,100,227,1,4/17/20 16:48,R_RqvRiA1Mc0XAOxr,,,,,39.82949829,-105.0632019,anonymous,EN,1,A22CL4GL9WCX6B,4,2,6,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,1,3,2,3,3,2,3,1,"Because I think the virus originated naturally, the only cure will be a vaccine",no,2,24,1,1,CO,5,3,1,1,1,5.004,5.004,7.2,1
4/17/20 16:43,4/17/20 16:48,0,73.63.219.253,100,281,1,4/17/20 16:48,R_1cV1DME9Eda3DLQ,,,,,37.40249634,-121.8659973,anonymous,EN,1,A2V64EMPMVDGGQ,4,5,3,5,4,2,5,2,7,6,5,4,2,5,5,2,2,3,6,6,4,1,5,6,7,5,6,5,3,5,4,2,1,"Either way, this list has you covered. I'm going to share 20 safe, proven answers you can give",very good touch,2,27,1,3,kansas,5,4,5,5,1,18.335,18.335,19.432,1
